NOMBRE;DIRECCION;TELEFONOS;HORARIOS;TIPO_SERVICIO;X;Y
Abitab 89-2;Camino Ariel 4945 Esq. 28 De Febrero;2357 65 60 - 2359 06 09;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;571551.126727185;6145152.39188889
Abitab 90-1;Avda. Dr. Luis Alberto De Herrera 1203 Esq. 26 De Marzo;2623 19 44;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578841.502733642;6137143.78871878
Abitab 90-2;Avda. Dr. Luis Alberto De Herrera 1290 Local. 6 - Montevideo Shopping;2628 75 24 - 2628 88 80;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578858.161733754;6137285.06272209
Abitab 90-3;Terminal Omnibus Río Branco - Local 18;2908 54 43;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573371.741415266;6137714.01487598
Abitab 90-4;Avda. Dr. Luis Alberto De Herrera 1290 Local. 506 - Montevideo Shopping;2628 19 78 - 2628 98 46;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578856.492245887;6137252.50370957
Abitab 90-5;Br. Batlle Y Ordóñez 5550 - Estación Petrobras;2359 33 12;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573048.429038952;6144547.4182613
Abitab 91-0;Avda. 18 De Julio 1552 Esq. Tacuarembó;2408 56 77 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574712.229702415;6137238.20470467
Abitab 91-1;Avda. Gral. Flores 5483 Esq. Cabarí;2216 91 69;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578454.830192516;6145541.00893017
Abitab 91-3;Cristóbal Echevarriarza 3249 Esq. Buxareo;2708 95 59;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578227.751041322;6136808.16375527
Abitab 92-2;Ruben Darío 3450 Esq. Las Rosas;2313 40 12;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;564444.841949377;6138867.24552247
Abitab 92-10;Camino Ariel 4626 - Devoto;2356 19 26;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;572059.964438635;6144825.62282884
Abitab 93-0;Avda. Bolivia 2140 Entre Avda. Italia Y Carlos Travieso;2601 03 22;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;583798.095908992;6139489.40167126
Abitab 93-1;Camino Carrasco 4337 Esq. 20 De Febrero;2506 67 65;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;579967.674727553;6140686.70098779
Abitab 93-2;21 De Setiembre 2980 Esq. Roque Graceras;2712 08 64;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;577389.420014809;6135516.4553921
Abitab 93-3;Camino Carrasco 4672 Entre Veracierto Y Dr. Berro;2525 26 35;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;580444.81315569;6140743.44330115
Abitab 93-4;Avda. José Belloni 3342 Loc.3 Esq. Saint Rosas;2211 78 49;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;579126.411000342;6143685.56239334
Abitab 93-6;Avda. Millán 5784 Entre Camino Lecocq Y Alzira;2355 28 41;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;569370.460735775;6146344.77036923
Abitab 93-7;Avda. Burgues 3325 Esq. Dr. Magested Y Regimiento Nº 9;2209 33 27;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574322.336928459;6141883.3435197
Abitab 94-0;Avda. Daniel Fernández Crespo 1759/61 Esq. Paysandú;2402 24 38;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;575063.524707521;6137913.93926111
Abitab 97-20;José L. Terra 2220 Local G90 Mercado Agrícola;2203 6428;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574615.88014496;6139193.16985007
Abitab 80-6;Camino Carrasco 6955 Esq. Brunel - Local 03 (Strip Center);;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;584822.659317032;6140960.10641565
Abitab 72-12;Bulevar Del Bicentenario Esq. Sauce - Local 21 - Las Piedras Shopping;23621222;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;572917.357502229;6157111.10715893
Abitab 72-13;Juan P. Espino S/N Entre Perú Y Bolivia;43358529;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;568559.21231169;6171633.15955137
Abitab 676;Rutageneralliberseregnikm22.500;26811760;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;591532.109881789;6145899.56452392
Abitab 97-19;Unidadagroalimentariametropolitana,Navepolivalente;23141096;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;567137.277518829;6146954.59816976
Abitab 26-19;Ruta1viejakm31.800*;23467970;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;550905.086361315;6155871.6764199
Abitab 72-15;Av.Giannatassiokm.22.200*;26819344;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;593502.986264692;6145039.09573159
Abitab 92-11;Cnoluiseduardopérez6651;23141096;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;567137.277518829;13853045.4018302
Abitab 26-20;Ruta1km32;23467882;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;11243846.3117373;29808842.7993189
Abitab 12-7;Batlle Y Ordóñez 557 Entre José E. Rodó Y Tomás Berreta;43322847;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;565901.020129801;6179528.33721027
Abitab 12-62;Pedro Maraboto S/N Entre J. P. Álvarez Y Luis A. De Herrera;4313 65 62;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;595579.132180569;6188517.13831365
Abitab 62;Mario Ferreira Y Calle 8;43755824;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;616921.442587911;6152016.29955761
Abitab 12-8;Treinta Y Tres 328;4332 39 04;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;565921.638904006;6178943.80050409
Abitab 10-22;Avda. Gral. Flores 2287 Entre Libres Y Amézaga;2203 38 44 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574542.420575256;6139363.34273551
Abitab 12-22;Montevideo 2170;2294 21 79;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;585714.218868721;6165438.66804215
Abitab 10-23;Avda. Gral. Flores 2540 Esq. Concepción Arenal;2203 49 73 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574777.657353474;6139828.13621567
Abitab 12-23;Ruta 33 Km 22.500 Paraje La Capilla - Toledo;22963382;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;581421.204720168;6154550.25016685
Abitab 10-24;Piedras 405 Entre Zabala Y Misiones;2915 50 48 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;572337.341318017;6137241.64529943
Abitab 12-24;Dr. Pouey 662 Esq. Fco. Soca - Estación Ancap;2364 55 70;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;571044.924479729;6156704.57361957
Abitab 10-25;Juncal 1335 Entre Sarandí Y Buenos Aires;2916 18 11;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;572993.773642472;6136996.97493823
Abitab 12-25;Avda. Giannattasio Km. 18.900 M 8 S 5;2683 12 41;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;590856.777313665;6143122.82590981
Abitab 12-30;Pérez Buttler Y Costanera (Pda. 13);2698 82 89;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;599842.568267519;6148274.51916622
Abitab 10-31;Avda. 18 De Julio 1927 Esq. Avda. Daniel Fernández Crespo;2400 28 97 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;575409.51559026;6137601.83296231
